319,Ryu,10.586,11-2017,SF1,Street Fighter
320,Akuma,8.937,11-2017,SF2T,Street Fighter II
321,Zeku,7.18,11-2017,SFA2,Street Fighter Alpha
322,Ken,7.069,11-2017,SF1,Street Fighter
323,Guile,5.065,11-2017,SF2,Street Fighter II
324,Karin,4.278,11-2017,SFA3,Street Fighter Alpha
325,Cammy,4.253,11-2017,SF2NC,Street Fighter II
326,Zangief,4.042,11-2017,SF2,Street Fighter II
327,Dictator,3.769,11-2017,SF2,Street Fighter II
328,Urien,3.748,11-2017,SF3GI,Street Fighter III
329,Laura,3.287,11-2017,SF5,Street Fighter V
330,Abigail,2.857,11-2017,FF,Final Fight
331,Nash,2.752,11-2017,SFA,Street Fighter Alpha
332,Ed,2.744,11-2017,SF4,Street Fighter IV
333,Boxer,2.74,11-2017,SF2,Street Fighter II
334,Alex,2.647,11-2017,SF3,Street Fighter III
335,Necalli,2.586,11-2017,SF5,Street Fighter V
336,Ibuki,2.436,11-2017,SF3,Street Fighter III
337,Juri,2.307,11-2017,SSF4,Street Fighter IV
338,Kolin,2.293,11-2017,SF3,Street Fighter III
339,Chun-Li,2.265,11-2017,SF2,Street Fighter II
340,Rashid,2.228,11-2017,SF5,Street Fighter V
341,R. Mika,2.137,11-2017,SFA3,Street Fighter Alpha
342,Birdie,2.115,11-2017,SF1,Street Fighter
343,Claw,1.882,11-2017,SF2,Street Fighter II
344,Menat,1.552,11-2017,SF5S2,Street Fighter V
345,Dhalsim,1.176,11-2017,SF2,Street Fighter II
346,F.A.N.G.,1.069,11-2017,SF5,Street Fighter V
347,Ryu,11.099,12-2017,SF1,Street Fighter
348,Akuma,9.336,12-2017,SF2T,Street Fighter II
349,Ken,7.313,12-2017,SF1,Street Fighter
350,Guile,4.813,12-2017,SF2,Street Fighter II
351,Cammy,4.509,12-2017,SF2NC,Street Fighter II
352,Karin,4.385,12-2017,SFA3,Street Fighter Alpha
353,Zangief,3.963,12-2017,SF2,Street Fighter II
354,Urien,3.92,12-2017,SF3GI,Street Fighter III
355,Dictator,3.724,12-2017,SF2,Street Fighter II
356,Zeku,3.627,12-2017,SFA2,Street Fighter Alpha
357,Laura,3.396,12-2017,SF5,Street Fighter V
358,Ed,3.069,12-2017,SF4,Street Fighter IV
359,Alex,2.942,12-2017,SF3,Street Fighter III
360,Nash,2.894,12-2017,SFA,Street Fighter Alpha
361,Abigail,2.786,12-2017,FF,Final Fight
362,Chun-Li,2.76,12-2017,SF2,Street Fighter II
363,Boxer,2.698,12-2017,SF2,Street Fighter II
364,Birdie,2.59,12-2017,SF1,Street Fighter
365,Necalli,2.568,12-2017,SF5,Street Fighter V
366,Juri,2.512,12-2017,SSF4,Street Fighter IV
367,Kolin,2.394,12-2017,SF3,Street Fighter III
368,Rashid,2.32,12-2017,SF5,Street Fighter V
369,Ibuki,2.291,12-2017,SF3,Street Fighter III
370,R. Mika,2.239,12-2017,SFA3,Street Fighter Alpha
371,Claw,1.915,12-2017,SF2,Street Fighter II
372,Menat,1.702,12-2017,SF5S2,Street Fighter V
373,Dhalsim,1.205,12-2017,SF2,Street Fighter II
374,F.A.N.G.,1.03,12-2017,SF5,Street Fighter V
375,Ryu,11.519,01-2018,SF1,Street Fighter
376,Akuma,7.963,01-2018,SF2T,Street Fighter II
377,Ken,6.928,01-2018,SF1,Street Fighter
378,Sakura,6.337,01-2018,SFA2,Street Fighter Alpha
379,Guile,4.506,01-2018,SF2,Street Fighter II
380,Cammy,4.014,01-2018,SF2NC,Street Fighter II
381,Karin,3.706,01-2018,SFA3,Street Fighter Alpha
382,Dictator,3.641,01-2018,SF2,Street Fighter II
383,Zangief,3.465,01-2018,SF2,Street Fighter II
384,Urien,3.393,01-2018,SF3GI,Street Fighter III
385,Ed,3.32,01-2018,SF4,Street Fighter IV
386,Alex,3.271,01-2018,SF3,Street Fighter III
387,Abigail,3.035,01-2018,FF,Final Fight
388,Laura,3.003,01-2018,SF5,Street Fighter V
389,Nash,2.932,01-2018,SFA,Street Fighter Alpha
390,Juri,2.88,01-2018,SSF4,Street Fighter IV
391,Chun-Li,2.783,01-2018,SF2,Street Fighter II
392,Kolin,2.504,01-2018,SF3,Street Fighter III
393,Zeku,2.424,01-2018,SFA2,Street Fighter Alpha
394,Birdie,2.241,01-2018,SF1,Street Fighter
395,Rashid,2.198,01-2018,SF5,Street Fighter V
396,Boxer,2.171,01-2018,SF2,Street Fighter II
397,Necalli,2.153,01-2018,SF5,Street Fighter V
398,R. Mika,2.151,01-2018,SFA3,Street Fighter Alpha
399,Ibuki,1.993,01-2018,SF3,Street Fighter III
400,Claw,1.852,01-2018,SF2,Street Fighter II
401,Menat,1.373,01-2018,SF5S2,Street Fighter V
402,Dhalsim,1.137,01-2018,SF2,Street Fighter II
403,F.A.N.G.,1.103,01-2018,SF5,Street Fighter V
404,Ryu,11.301,02-2018,SF1,Street Fighter
405,Akuma,8.503,02-2018,SF2T,Street Fighter II
406,Ken,7.015,02-2018,SF1,Street Fighter
407,Guile,5.627,02-2018,SF2,Street Fighter II
408,Sakura,3.994,02-2018,SFA2,Street Fighter Alpha
409,Cammy,3.949,02-2018,SF2NC,Street Fighter II
410,Abigail,3.723,02-2018,FF,Final Fight
411,Dictator,3.632,02-2018,SF2,Street Fighter II
412,Zangief,3.385,02-2018,SF2,Street Fighter II
413,Karin,3.366,02-2018,SFA3,Street Fighter Alpha
414,Urien,3.132,02-2018,SF3GI,Street Fighter III
415,Blanka,3.101,02-2018,SF2,Street Fighter II
416,Nash,2.992,02-2018,SFA,Street Fighter Alpha
417,Alex,2.917,02-2018,SF3,Street Fighter III
418,Ed,2.805,02-2018,SF4,Street Fighter IV
419,Laura,2.673,02-2018,SF5,Street Fighter V
420,Juri,2.626,02-2018,SSF4,Street Fighter IV
421,Chun-Li,2.572,02-2018,SF2,Street Fighter II
422,Kolin,2.507,02-2018,SF3,Street Fighter III
423,Rashid,2.452,02-2018,SF5,Street Fighter V
424,Birdie,2.302,02-2018,SF1,Street Fighter
425,R. Mika,2.298,02-2018,SFA3,Street Fighter Alpha
426,Boxer,2.058,02-2018,SF2,Street Fighter II
427,Necalli,1.987,02-2018,SF5,Street Fighter V
428,Ibuki,1.973,02-2018,SF3,Street Fighter III
429,Zeku,1.778,02-2018,SFA2,Street Fighter Alpha
430,Claw,1.766,02-2018,SF2,Street Fighter II
431,Menat,1.32,02-2018,SF5S2,Street Fighter V
432,Dhalsim,1.152,02-2018,SF2,Street Fighter II
433,F.A.N.G.,1.094,02-2018,SF5,Street Fighter V
434,Ryu,10.764,03-2018,SF1,Street Fighter
435,Akuma,9.034,03-2018,SF2T,Street Fighter II
436,Ken,7.106,03-2018,SF1,Street Fighter
437,Guile,5.979,03-2018,SF2,Street Fighter II
438,Cammy,4.182,03-2018,SF2NC,Street Fighter II
439,Blanka,3.691,03-2018,SF2,Street Fighter II
440,Dictator,3.68,03-2018,SF2,Street Fighter II
441,Abigail,3.66,03-2018,FF,Final Fight
442,Urien,3.355,03-2018,SF3GI,Street Fighter III
443,Karin,3.345,03-2018,SFA3,Street Fighter Alpha
444,Zangief,3.27,03-2018,SF2,Street Fighter II
445,Nash,3.01,03-2018,SFA,Street Fighter Alpha
446,Sakura,2.991,03-2018,SFA2,Street Fighter Alpha
447,Alex,2.718,03-2018,SF3,Street Fighter III
448,Laura,2.699,03-2018,SF5,Street Fighter V
449,Ed,2.655,03-2018,SF4,Street Fighter IV
450,Juri,2.569,03-2018,SSF4,Street Fighter IV
451,Chun-Li,2.529,03-2018,SF2,Street Fighter II
452,Kolin,2.445,03-2018,SF3,Street Fighter III
453,Rashid,2.339,03-2018,SF5,Street Fighter V
454,R. Mika,2.302,03-2018,SFA3,Street Fighter Alpha
455,Ibuki,2.224,03-2018,SF3,Street Fighter III
456,Birdie,2.183,03-2018,SF1,Street Fighter
457,Boxer,2.107,03-2018,SF2,Street Fighter II
458,Zeku,1.951,03-2018,SFA2,Street Fighter Alpha
459,Necalli,1.903,03-2018,SF5,Street Fighter V
460,Claw,1.758,03-2018,SF2,Street Fighter II
461,Menat,1.344,03-2018,SF5S2,Street Fighter V
462,Dhalsim,1.192,03-2018,SF2,Street Fighter II
463,F.A.N.G.,1.015,03-2018,SF5,Street Fighter V
464,Ryu,10.31,04-2018,SF1,Street Fighter
465,Akuma,9.032,04-2018,SF2T,Street Fighter II
466,Ken,6.92,04-2018,SF1,Street Fighter
467,Guile,5.696,04-2018,SF2,Street Fighter II
468,Cammy,5.031,04-2018,SF2NC,Street Fighter II
469,Dictator,3.47,04-2018,SF2,Street Fighter II
470,Karin,3.326,04-2018,SFA3,Street Fighter Alpha
471,Alex,3.221,04-2018,SF3,Street Fighter III
472,Urien,3.203,04-2018,SF3GI,Street Fighter III
473,Zangief,3.167,04-2018,SF2,Street Fighter II
474,Nash,3.16,04-2018,SFA,Street Fighter Alpha
475,Sakura,3.104,04-2018,SFA2,Street Fighter Alpha
476,Zeku,2.76,04-2018,SFA2,Street Fighter Alpha
477,Juri,2.756,04-2018,SSF4,Street Fighter IV
478,Ed,2.654,04-2018,SF4,Street Fighter IV
479,Abigail,2.502,04-2018,FF,Final Fight
480,Laura,2.495,04-2018,SF5,Street Fighter V
481,R. Mika,2.484,04-2018,SFA3,Street Fighter Alpha
482,Boxer,2.455,04-2018,SF2,Street Fighter II
483,Chun-Li,2.382,04-2018,SF2,Street Fighter II
484,Falke,2.375,04-2018,SF5S2,Street Fighter V
485,Ibuki,2.228,04-2018,SF3,Street Fighter III
486,Blanka,2.154,04-2018,SF2,Street Fighter II
487,Kolin,2.084,04-2018,SF3,Street Fighter III
