,Character,Usage Rate,Date
462,ダルシム,1.192,03-2018
463,ファン,1.015,03-2018
464,リュウ,10.31,04-2018
465,豪鬼,9.032,04-2018
466,ケン,6.92,04-2018
467,ガイル,5.696,04-2018
468,キャミィ,5.031,04-2018
469,ベガ,3.47,04-2018
470,かりん,3.326,04-2018
471,アレックス,3.221,04-2018
472,ユリアン,3.203,04-2018
473,ザンギエフ,3.167,04-2018
474,ナッシュ,3.16,04-2018
475,さくら,3.104,04-2018
476,是空,2.76,04-2018
477,ジュリ,2.756,04-2018
478,エド,2.654,04-2018
479,アビゲイル,2.502,04-2018
480,ララ,2.495,04-2018
481,レインボー・ミカ,2.484,04-2018
482,バイソン,2.455,04-2018
483,春麗,2.382,04-2018
484,ファルケ,2.375,04-2018
485,いぶき,2.228,04-2018
486,ブランカ,2.154,04-2018
487,コーリン,2.084,04-2018
488,バーディー,2.044,04-2018
489,ネカリ,1.993,04-2018
490,バルログ,1.831,04-2018
491,ラシード,1.584,04-2018
492,メナト,1.429,04-2018
493,ダルシム,1.209,04-2018
494,ファン,0.94,04-2018
495,リュウ,10.777,05-2018
496,豪鬼,9.148,05-2018
497,ケン,7.275,05-2018
498,ガイル,5.968,05-2018
499,キャミィ,4.575,05-2018
500,ベガ,3.747,05-2018
501,かりん,3.304,05-2018
502,ユリアン,3.302,05-2018
503,ザンギエフ,3.243,05-2018
504,ナッシュ,3.031,05-2018
505,アレックス,2.971,05-2018
506,ファルケ,2.849,05-2018
507,ララ,2.62,05-2018
508,さくら,2.595,05-2018
509,エド,2.567,05-2018
510,いぶき,2.555,05-2018
511,是空,2.493,05-2018
512,レインボー・ミカ,2.463,05-2018
513,ジュリ,2.453,05-2018
514,バイソン,2.423,05-2018
515,春麗,2.339,05-2018
516,アビゲイル,2.306,05-2018
517,バーディー,2.279,05-2018
518,ネカリ,1.956,05-2018
519,コーリン,1.935,05-2018
520,バルログ,1.85,05-2018
521,ブランカ,1.832,05-2018
522,ラシード,1.604,05-2018
523,メナト,1.335,05-2018
524,ダルシム,1.261,05-2018
525,ファン,0.944,05-2018
526,リュウ,10.469,06-2018
527,豪鬼,8.751,06-2018
528,ケン,6.976,06-2018
529,ガイル,5.662,06-2018
530,キャミィ,4.52,06-2018
531,コーディー,4.133,06-2018
532,ベガ,3.539,06-2018
533,ユリアン,3.508,06-2018
534,かりん,3.341,06-2018
535,ザンギエフ,3.255,06-2018
536,ナッシュ,2.973,06-2018
537,いぶき,2.798,06-2018
538,アレックス,2.75,06-2018
539,エド,2.487,06-2018
540,ララ,2.482,06-2018
541,バイソン,2.415,06-2018
542,レインボー・ミカ,2.397,06-2018
543,ジュリ,2.393,06-2018
